product_id,ingredients
P476418,"['Egyptian Lavender + Moroccan Mint:', 'Butyrospermum Parkii (Shea Nilotica) Butter, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Adansonia Digitata (Baobab) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Persea Gratissima (Avocado) Oil, Lavandula Angustifolia (Lavender) Flower Oil, Mentha Piperita (Peppermint) Oil, *Tocopherol (Mixed), *Beta-Sitosterol, *Squalane.', 'Kenyan Hibiscus + Moroccan Rose:', 'Butyrospermum Parkii (Shea Nilotica) Butter, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Adansonia Digitata (Baobab) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Persea Gratissima (Avocado) Oil, Cocos Nucifera (Coconut) Oil, (Rose Absolute), Hibiscus Sabdariffa (Hibiscus) Seed Oil, *Tocopherol (Mixed), *Beta-Sitosterol, *Squalane.', 'Ugandan Vanilla + Ethiopian Honey:', 'Butyrospermum Parkii (Shea Nilotica) Butter, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Adansonia Digitata (Baobab) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Persea Gratissima (Avocado) Oil, Cocos Nucifera (Coconut) Oil, Vanilla Planifolia (Vanilla) Fruit Extract, Honey, *Tocopherol (Mixed), *Beta-Sitosterol, *Squalane.']"
P476417,"['Egyptian Lavender + Moroccan Mint:', 'Butyrospermum Parkii (Shea Nilotica) Butter, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Adansonia Digitata (Baobab) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Persea Gratissima (Avocado) Oil, Lavandula Angustifolia (Lavender) Flower Oil, Mentha Piperita (Peppermint) Oil, *Tocopherol (Mixed), *Beta-Sitosterol, *Squalane.', 'Kenyan Hibiscus + Moroccan Rose:', 'Butyrospermum Parkii (Shea Nilotica) Butter, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Adansonia Digitata (Baobab) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Persea Gratissima (Avocado) Oil, Cocos Nucifera (Coconut) Oil, (Rose Absolute), Hibiscus Sabdariffa (Hibiscus) Seed Oil, *Tocopherol (Mixed), *Beta-Sitosterol, *Squalane.', 'Nigerian Lemongrass + South African Palmarosa:', 'Butyrospermum Parkii (Shea Nilotica) Butter, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Adansonia Digitata (Baobab) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Persea Gratissima (Avocado) Oil, Cymbopogon Schoenanthus (Lemongrass) Oil, Cymbopogon Martini (Palmarosa) Oil, *Tocopherol (Mixed), *Beta-Sitosterol, **Squalane.', 'Moroccan Blue Tansy + Egyptian Blue Chamomile:', 'Butyrospermum Parkii (Shea Nilotica) Butter, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Adansonia Digitata (Baobab) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Persea Gratissima (Avocado) Oil, Tanacetum Annum (Tansy) Essential Oil, Matricaria Recutita (Blue Chamomile Flower) Oil, *Tocopherol (Mixed), *Beta-Sitosterol, *Squalane.', 'Ugandan Vanilla + Ethiopian Honey:', 'Butyrospermum Parkii (Shea Nilotica) Butter, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Adansonia Digitata (Baobab) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Persea Gratissima (Avocado) Oil, Cocos Nucifera (Coconut) Oil, Vanilla Planifolia (Vanilla) Fruit Extract, Honey, *Tocopherol (Mixed), *Beta-Sitosterol, *Squalane.']"
P503832,"['Butyrospermum Parkii (Shea Nilotica) Butter, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Adansonia Digitata (Baobab) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Persea Gratissima (Avocado) Oil, Cocos Nucifera (Coconut) Oil, Vanilla Planifolia (Vanilla) Fruit Extract, Honey, *Tocopherol (Mixed), *Beta-Sitosterol, *Squalane.']"
P483068,"['Big Sky:', 'Water, Denatured Ethyl Alcohol, Fragrance, 1-(2,2,6-Trimethylcyclohexyl)Hexan-3-Ol, 4-(1-Ethoxyethenyl)-3,3,5,5-Tetramethylcyclohexan-1-One, Cedrus Atlantica Wood Oil, Dihydro Pentamethylindanone, Dipropylene Glycol, Ethylene Brassylate, Tetramethyl Acetyloctahydronaphthalenes.', 'Crescent Beach:', 'Water, Denatured Ethyl Alcohol, Fragrance, (10z)-1-Oxacycloheptadec-10-En-2-One, 1-Methyl-4-(4-Methylpent-3-Enyl)Cyclohex-3-Ene-1-Carbaldehyde, 2,4-Dimethyl-4,4a,5,9b-Tetrahydroindeno[1,2-D][1,3]Dioxine, Alpha-Isomethyl Ionone, Cyclamen Aldehyde, Dihydro Pentamethylindanone, Dimethylcyclohexylethoxy Isobutylpropanoate, Ethyl Linalool, Ethylene Brassylate, Ethylene Dodecanedioate, Isobutyl Methyl Tetrahydropyranol, Methyldihydrojasmonate, Methylenedioxyphenyl Methylpropanal, Phenethyl Alcohol.', 'Mojave:', 'Water, Denatured Ethyl Alcohol, Fragrance, (3r,3as,6s,7r,8as)-6-Methoxy-3,6,8,8-Tetramethyloctahydro-1h-3a,7-Methanoazulene, 1-(2,2,6-Trimethylcyclohexyl)Hexan-3-Ol, 6,6-Dimethoxy-2,5,5-Trimethylhex-2-Ene, Boswellia Carterii Oil, Canarium Luzonicum Gum Nonvolatiles, Citrus Aurantium Bergamia (Bergamot) Peel Oil, Citrus Limon (Lemon) Peel Oil, Dipropylene Glycol, Ethylene Brassylate, Juniperus Virginiana Wood Oil, Methyldihydrojasmonate, Piper Nigrum (Pepper) Fruit Oil, Tetramethyl Acetyloctahydronaphthalenes Dihydro Pentamethylindanone, Dipropylene Glycol, Ethylene Brassylate, Limonene, Linalyl Acetate, Methyldihydrojasmonate, Methylenedioxyphenyl Methylpropanal, Tetramethyl Acetyloctahydronaphthalenes.', 'Montecito:', 'Water, Denatured Ethyl Alcohol, Fragrance, (10z)-1-Oxacycloheptadec-10-En-2-One, (3r,3as,6s,7r,8as)-6-Methoxy-3,6,8,8-Tetramethyloctahydro-1h-3a,7-Methanoazulene, 1-(2,2,6-Trimethylcyclohexyl)Hexan-3-Ol, 4-(1-Ethoxyethenyl)-3,3,5,5-Tetramethylcyclohexan-1-One, 6,6-Dimethoxy-2,5,5-Trimethylhex-2-Ene, Citrus Aurantium Bergamia (Bergamot) Peel Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Citrus Paradisi (Grapefruit) Peel Oil, Dihydro Pentamethylindanone, Dipropylene Glycol, Ethylene Brassylate, Limonene, Linalyl Acetate, Methyldihydrojasmonate, Methylenedioxyphenyl Methylpropanal, Tetramethyl Acetyloctahydronaphthalenes.', 'Sequoia:', 'Water, Denatured Ethyl Alcohol, Fragrance, (3r-(3a,3ab,7b,8aa))-1-(2,3,4,7,8,8a-Hexahydro-3,6,8,8-Tetramethyl-1h-3a,7-Methanoazulen-5-Yl)Ethan-1-One, (4e)-3-Methyl-5-(2,2,3-Trimethylcyclopent-3-En-1-Yl)Pent-4-En-2-Ol, (Ethoxymethoxy)Cyclododecane, Juniperus Virginiana Wood Oil, Dihydro Pentamethylindanone, Dipropylene Glycol, Ethylene Brassylate, Linalyl Acetate, Methoxytrimethylheptanol, Methyldihydrojasmonate, Tetramethyl Acetyloctahydronaphthalenes, Trimethylcyclopentenyl Dimethylisopentenol.', 'The Cape:', 'Water, Denatured Ethyl Alcohol, Fragrance, (3r,3as,6s,7r,8as)-6-Methoxy-3,6,8,8-Tetramethyloctahydro-1h-3a,7-Methanoazulene, 2,6-Dimethyl-7-Octen-2-Ol, 2-T-Butylcyclohexyl Acetate, 6,6-Dimethoxy-2,5,5-Trimethylhex-2-Ene, Butylphenyl Methylpropional, Citronellol, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Dihydro Pentamethylindanone, Dipropylene Glycol, Isobutyl Methyl Tetrahydropyranol, Linalool, Linalyl Acetate, Methyldihydrojasmonate, Methylenedioxyphenyl Methylpropanal, Pentadecalactone, Tetramethyl Acetyloctahydronaphthalenes, Vetiveria Zizanoides Root Oil.']"
P483139,"['Water, Denatured Ethyl Alcohol, Fragrance, (3r,3as,6s,7r,8as)-6-Methoxy-3,6,8,8-Tetramethyloctahydro-1h-3a,7-Methanoazulene, 2,6-Dimethyl-7-Octen-2-Ol, 2-T-Butylcyclohexyl Acetate, 6,6-Dimethoxy-2,5,5-Trimethylhex-2-Ene, Butylphenyl Methylpropional, Citronellol, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Dihydro Pentamethylindanone, Dipropylene Glycol, Isobutyl Methyl Tetrahydropyranol, Linalool, Linalyl Acetate, Methyldihydrojasmonate, Methylenedioxyphenyl Methylpropanal, Pentadecalactone, Tetramethyl Acetyloctahydronaphthalenes, Vetiveria Zizanoides Root Oil.']"
P483080,No Ingredients
P483079,"['Water, Denatured ethyl alcohol, Fragrance, (10z)-1-oxacycloheptadec-10-en-2-one, 1-methyl-4-(4-methylpent-3-enyl)cyclohex-3-ene-1-carbaldehyde, 2,4-dimethyl-4,4a,5,9b-tetrahydroindeno[1,2-d][1,3]dioxine, Alpha-isomethyl ionone, Cyclamen aldehyde, Dihydro pentamethylindanone, Dimethylcyclohexylethoxy isobutylpropanoate, Ethyl linalool, Ethylene brassylate, Ethylene dodecanedioate, Isobutyl methyl tetrahydropyranol, Methyldihydrojasmonate, Methylenedioxyphenyl methylpropanal, Phenethyl alcohol.']"
P483131,No Ingredients
P483130,"['Water, Denatured Ethyl Alcohol, Fragrance, (3r-(3a,3ab,7b,8aa))-1-(2,3,4,7,8,8a-Hexahydro-3,6,8,8-Tetramethyl-1h-3a,7-Methanoazulen-5-Yl)Ethan-1-One, (4e)-3-Methyl-5-(2,2,3-Trimethylcyclopent-3-En-1-Yl)Pent-4-En-2-Ol, (Ethoxymethoxy)Cyclododecane, Juniperus Virginiana Wood Oil, Dihydro Pentamethylindanone, Dipropylene Glycol, Ethylene Brassylate, Linalyl Acetate, Methoxytrimethylheptanol, Methyldihydrojasmonate, Tetramethyl Acetyloctahydronaphthalenes, Trimethylcyclopentenyl Dimethylisopentenol.']"
P483108,No Ingredients
P483140,No Ingredients
P483072,"['Water, Denatured ethyl alcohol, Fragrance, 1-(2,2,6-trimethylcyclohexyl)hexan-3-ol, 4-(1-ethoxyethenyl)-3,3,5,5-tetramethylcyclohexan-1-one, Cedrus atlantica wood oil, Dihydro pentamethylindanone, Dipropylene glycol, Ethylene brassylate, Tetramethyl acetyloctahydronaphthalenes.']"
P483071,"['Water, Denatured ethyl alcohol, Fragrance, 1-(2,2,6-trimethylcyclohexyl)hexan-3-ol, 4-(1-ethoxyethenyl)-3,3,5,5-tetramethylcyclohexan-1-one, Cedrus atlantica wood oil, Dihydro pentamethylindanone, Dipropylene glycol, Ethylene brassylate, Tetramethyl acetyloctahydronaphthalenes.']"
P483110,No Ingredients
P483109,"['Water, Denatured ethyl alcohol, Fragrance, (10z)-1-oxacycloheptadec-10-en-2-one, (3r,3as,6s,7r,8as)-6-methoxy-3,6,8,8-tetramethyloctahydro-1h-3a,7-methanoazulene, 1-(2,2,6-trimethylcyclohexyl)hexan-3-ol, 4-(1-ethoxyethenyl)-3,3,5,5-tetramethylcyclohexan-1-one, 6,6-dimethoxy-2,5,5-trimethylhex-2-ene, Citrus aurantium bergamia (bergamot) peel oil, Citrus nobilis (mandarin orange) peel oil, Citrus paradisi (grapefruit) peel oil, Dihydro pentamethylindanone, Dipropylene glycol, Ethylene brassylate, Limonene, Linalyl acetate, Methyldihydrojasmonate, Methylenedioxyphenyl methylpropanal, Tetramethyl acetyloctahydronaphthalenes.']"
P483107,"['Water, Denatured ethyl alcohol, Fragrance, (3r,3as,6s,7r,8as)-6-methoxy-3,6,8,8-tetramethyloctahydro-1h-3a,7-methanoazulene, 1-(2,2,6-trimethylcyclohexyl)hexan-3-ol, 6,6-dimethoxy-2,5,5-trimethylhex-2-ene, Boswellia carterii oil, Canarium luzonicum gum nonvolatiles, Citrus aurantium bergamia (bergamot) peel oil, Citrus limon (lemon) peel oil, Dipropylene glycol, Ethylene brassylate, Juniperus virginiana wood oil, methyldihydrojasmonate, Piper nigrum (pepper) fruit oil, Tetramethyl acetyloctahydronaphthalenes Dihydro pentamethylindanone, Dipropylene glycol, Ethylene brassylate, Limonene, Linalyl acetate, Methyldihydrojasmonate, Methylenedioxyphenyl methylpropanal, Tetramethyl acetyloctahydronaphthalenes.']"
P443401,"['Arancia di Capri Eau de Toilette:', 'Alcohol Denat., Water, Fragrance, Limonene, Linalool, Ethylhexyl Methoxycinnamate, Citral, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, BHT, Geraniol, Benzyl Alcohol, Citronellol, Tocopherol.', 'Bergamotto di Calabria Eau de Toilette:', 'Alcohol Denat., Fragrance, Water, Limonene, Ethylhexyl Methoxycinnamate, Linalool, Citral, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Alpha-Isomethyl Ionone, Bht, Citronellol, Geraniol.', 'Fico di Amalfi Eau de Toilette:', 'Alcohol Denat., Fragrance, Water, Limonene, Ethylhexyl Methoxycinnamate, Linalool, Alpha-Isomethyl Ionone, Hexyl Cinnamal, Butyl Methoxydibenzoylmethane, Ethylhexylsalicylate, Bht, Citronellol, Hydroxycitronellal, Coumarin, Citral, Geraniol, Amyl Cinnamal, Benzyl Salicylate, Butylphenyl Methylpropional, Benzyl Alcohol, Eugenol, Benzyl Benzoate, Disodium EDTA.', 'Mirto di Panarea Eau de Toilette:', 'Alcohol Denat., Fragrance, Water, Limonene, Linalool, Butylphenyl Methylpropional, Hexyl Cinnamal, Citronellol, Ethylhexyl Methoxycinnamate, Citral, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Bht, Coumarin, Geraniol, Eugenol, Amyl Cinnamal.', 'Chinotto di Liguria Eau de Toilette:', 'Alcohol Denat., Water, Fragrance, Limonene, Linalool, Hexyl Cinnamal, Alpha-Isomethyl Ionone, Coumarin, Citral, Eugenol, Geraniol, Bht, Hydroxycitronellal, Citronellol, Benzyl Alcohol, Tocopherol.']"
P307804,"['Alcohol Denat., Aqua (Water), Parfum (Fragrance), Limonene, Linalool, Hexyl Cinnamal, Citronellol, Ethylhexyl Methoxycinnamate, Citral, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Coumarin, Geraniol, Bht, Eugenol, Tocopherol.']"
P375388,No Ingredients
P163604,"['Alcohol Denat., Aqua (Water), Parfum (Fragrance), Limonene, Hydroxycitronellal, Linalool, Citral, Benzyl Salicylate, Coumarin, Eugenol, Alpha-Isomethyl Ionone, Geraniol, Amyl Cinnamal, Evernia Prunastri (Oakmoss) Extract, Citronellol, Benzyl Benzoate, Bht, Benzyl Alcohol, Farnesol.']"
P252213,No Ingredients
P456550,"['Alcohol Denat., Aqua (Water), Parfum (Fragrance), Limonene, Ethylhexyl Methoxycinnamate, Alpha-Isomethyl Ionone, Benzyl Salicylate, Linalool, Hexyl Cinnamal, Hydroxycitronellal, Butyl Methoxydibenzoylmethane,  Ethylhexyl Salicylate, Citral, Bht, Geraniol, Citronellol, Tocopherol.']"
P377678,"['Alcohol Denat., Fragrance, Water, Linalool, Limonene, Hexylcinnamal, Alpha-Isomethylionone, Citronellol, Hydroxycitronellal, Bht, Eugenol, Geraniol, Methyl2-Octynoate, Citral, Benzylalcohol, Tocopherol.']"
P269110,"['Alcohol Denat., Water, Fragrance, Limonene, Hydroxycitronellal, Linalool, Ethylhexylmethoxycinnamate, Benzylsalicylate, Citral, Coumarin, Butylmethoxydibenzoylmethane, Ethylhexylsalicylate, Eugenol, Bht, Alpha-Isomethylionone, Geraniol, Benzylbenzoate, Amylcinnamal, Everniaprunastri (Oakmoss) Extract, Farnesol, Citronellol.']"
P448830,No Ingredients
P380571,"['Aqua (Water), Butylene Glycol, Glycerin, Sodium Stearate, Laureth-23, Parfum (Fragrance), Nylon-12, Ethylhexylglycerin, Limonene, Hydroxycitronellal, Linalool, Citral, Eugenol, Coumarin, Benzyl Alcohol, Benzyl Salicylate, Sodium Hydroxide, Amyl Cinnamal, Geraniol, Bht, Alpha-Isomethyl Ionone, Citronellol, Tocopherol.']"
P422289,"['Alcohol Denat., Water, Fragrance, Limonene, Hexylcinnamal, Linalool, Alpha-Isomethylionone, Citral, Coumarin, Bht, Geraniol, Citronellol, Tocopherol.']"
P471526,No Ingredients
P460438,No Ingredients
P448828,No Ingredients
P457232,"['Water (Aqua), Butyrospermum Parkii (Shea Butter), Cocos Nucifera (Coconut) Oil, Behentrimonium Methosulfate, Cetearyl Alcohol, Cetyl Alcohol, Glycerin, Glyceryl Stearate, Adansonia Digitata (Baobab) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Opuntia Ficus Indica (Prickly Pear) SeedOil, Cetyl Esters, Hydrolyzed Wheat Protein, Centrimonium Chloride, Biotin, Guar Hydroxypropyltrimonium Chloride, Cucurbita Pepo (Pumpkin) Seed Oil, Phthalates Free Fragrance, Caprylyl Glycol, Phenoxyethanol, Gaultheria Procumbens (Wintergreen) Oil, Mentha Piperita (Peppermint) Oil, Mentha Viridis (Spearmint) Leaf Oil, Quaternium-80, Lavandula (Lavender) Spica Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Menthol, Urtica Dioica (Nettle) Extract.']"
P474806,"['Water (Aqua), Behentrimonium Methosulfate, Cetearyl Alcohol, Butyrospermum Parkii (Shea) Butter, Cetyl Alcohol, Glycerin, Cetrimonium Chloride, Ricinus Communis (Castor) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Glyceryl Stearate, Diheptyl Succinate, Capryloyl Glycerin/Sebacic Acid Copolymer, Cetyl Esters, Moroccan Lava (Rhassoul) Clay, Hydrolyzed Quinoa Protein, Tanacetum Annuum (Blue Tansy) Flower Oil, Ulmus Rubra (Slippery Elm) Extract, Bambusa Vulgaris (Bamboo) Extract, Fragrance (Parfum), Macrocystis Pyrifera (Sea Kelp) Extract, Equisetum Arvense (Horsetail) Extract, Urtica Dioica (Nettle) Extract, Mangifera Indica (Mango) Seed Butter, Adansonia Digitata (Baobab) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopheryl Acetate (Vitamin E), Arthrospira Platensis (Spirulina) Powder, Caprylyl Glycol, Phenoxyethanol.']"
P457233,"['Water (Aqua), Behentrimonium Methosulfate, Cetearyl Alcohol, Adansonia Digitata (Baobab) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cetyl Alcohol, Butyrospermum Parkii (Shea Butter), Aloe Barbadensis Leaf Juice, Glycerin, Opuntia Ficus Indica (Prickly Pear) SeedOil, Caprylic/Capric Triglyceride (Fractionated Coconut Oil), Gaultheria Procumbens (Wintergreen) Oil, Mentha Piperita (Peppermint) Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Guar Hydroxypropyltrimonium Chloride, Lavandula Spica (Lavender) Oil, Urtica Dioica (Nettle) Extract, Cucurbita Pepo (Pumpkin) Seed Oil, Phthalates Free Fragrance, Tocopheryl Acetate, Dehydroacetic Acid, Benzyl Alcohol, Silk Amino Acids, Vanilla Tahitensis (Vanilla) Fruit Oil.']"
P474808,"['Water (Aqua), Behentrimonium Methosulfate, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Ricinus Communis (Castor) Seed Oil, Butyrospermum Parkii (Shea Butter), Glycerin, Aloe Barbadensis Leaf Juice, Cetrimonium Chloride, Cetyl Alcohol, Simmondsia Chinensis (Jojoba) Seed Oil, Tanacetum Annuum (Blue Tansy) Flower Oil, Bamboo Extract, Hydrolyzed Quinoa, Macrocystis pyrifera (Sea Kelp) extract, Ulmus rubra (slippery Elm) Extract, Equisetum Arvense (Horsetail) Extract, Adansonia Digitata (Baobab) Oil, Mangifera Indica (Mango) Seed Butter, Tocopheryl Acetate (Vitamin E), Fragrance, Guar Hydroxypropyltrimonium Chloride, Dehydroacetic Acid, Benzyl Alcohol.']"
